question_id,question_text,created_datetime,updated_datetime
a8be5a79-5d66-513b-ae57-bd7262328058,"Q1. If you were to join a school organization or club, which would you choose?",2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
da1aa3c5-19df-513f-993f-4c7438fd34fa,Q2. Which task sounds most exciting to you during a group project?,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
4185ccc6-fb52-5b82-a43d-47c5e3574e56,Q3. What is the most important goal for your future career?,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
f665f1c4-dfa8-50e5-994d-02e6b4f3bfd9,Q4. Do you prefer a job that is:,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
32378de0-713d-5a92-8d9d-ee58d425382f,Q5. What is your primary career motivation?,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
66d3fb25-2a0a-599a-ab52-377e282307cc,Q6. How do you learn best?,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
26df99fb-9082-5253-881f-41771e6d70a8,Q7. What is your current Senior High School (SHS) strand?,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
611c732a-c169-50ab-bfd0-3085717b2578,"Q8. Compared to your classmates, which subjects did you find easier and more enjoyable?",2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
fafad9ad-a002-5d88-9753-21909675fd8b,"Q9. When solving problems, do you prefer to:",2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
9a558104-a5e4-57bc-8d84-c7e7e3936716,Q10. What is your household financial situation?,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
8f3a753c-d973-5bbc-81af-c5e80c636961,Q11. How do you plan to get to school every day?,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
20c4f9ec-8501-52eb-b4e9-608129ac639f,Q12. How do you feel about programs that require 5+ years of study or heavy board exam preparation?,2026-05-16 00:00:00+00:00,2026-05-16 00:00:00+00:00
